Full Name,Age
Hans-Olaf Henkel,79.0
Maria Heubuch,60.0
Nadja Hirsch,40.0
Iris Hoffmann,55.0
Monika Hohlmeier,56.0
Peter Jahr,59.0
Petra Kammerevert,52.0
Sylvia-Yvonne Kaufmann,64.0
Ska Keller,37.0
Wolf Klinz,77.0
Dieter-Lebrecht Koch,66.0
Arndt Kohn,38.0
Bernd Kölmel,0.0
Dietmar Köster,62.0
Constanze Krehl,62.0
Werner Kuhn,0.0
Bernd Lange,63.0
Werner Langen,69.0
Jo Leinen,70.0
Peter Liese,53.0
Arne Lietz,42.0
Norbert Lins,41.0
Barbara Lochbihler,59.0
Sabine Lösing,63.0
Bernd Lucke,56.0
Thomas Mann,0.0
David McAllister,48.0
Gesine Meissner,67.0
Susanne Melior,60.0
Jörg Meuthen,57.0
Martina Michels,63.0
Ulrike Müller,47.0
Norbert Neuser,0.0
Angelika Niebler,56.0
Maria Noichl,52.0
Markus Pieper,55.0
Marcus Pretzell,45.0
Gabriele Preuss,64.0
Godelieve Quisthoudt-Rowohl,0.0
Dennis Radtke,39.0
Julia Reda,32.0
Terry Reintke,31.0
Ulrike Rodust,69.0
Martin Schirdewan,43.0
Helmut Scholz,0.0
Sven Schulze,39.0
Joachim Schuster,56.0
Andreas Schwab,45.0
Peter Simon,0.0
Birgit Sippel,59.0
Renate Sommer,60.0
Martin Sonneborn,53.0
Joachim Starbatty,0.0
Ulrike Trebesius,0.0
Helga Trüpel,60.0
Sabine Verheyen,54.0
Udo Voigt,66.0
Axel Voss,55.0
Manfred Weber,46.0
Martina Werner,57.0
Kerstin Westphal,56.0
Rainer Wieland,62.0
Hermann Winkler,55.0
Babette Winter,0.0
Tiemo Wölken,33.0
Joachim Zeller,66.0
Gabriele Zimmer,63.0
Nikos Androulakis,40.0
Nikolaos Chountis,65.0
Kostas Chrysogonos,57.0
Georgios Epitideios,66.0
Lampros Fountoulis,58.0
Giorgos Grammatikakis,79.0
Eva Kaili,0.0
Manolis Kefalogiannis,59.0
Stelios Kouloglou,0.0
Kostadinka Kuneva,0.0
Miltiadis Kyrkos,59.0
Georgios Kyrtsos,0.0
Notis Marias,61.0
Konstantinos Papadakis,46.0
Dimitrios Papadimoulis,64.0
Sofia Sakorafa,61.0
Maria Spyraki,53.0
Eleftherios Synadinos,63.0
Elissavet Vozemberg-Vrionidi,62.0
Theodoros Zagorakis,47.0
Sotirios Zarianopoulos,4.0
Zoltán Balczó,71.0
Andrea Bocskor,40.0
Andor Deli,41.0
Tamás Deutsch,0.0
Norbert Erdős,46.0
Kinga Gál,48.0
András Gyürk,46.0
György Hölvényi,0.0
Lívia Járóka,44.0
Benedek Jávor,46.0
Ádám Kósa,43.0
Béla Kovács,81.0
Tamás Meszerics,54.0
Csaba Molnár,43.0
Krisztina Morvai,55.0
Péter Niedermüller,0.0
György Schöpflin,79.0
József Szájer,57.0
Tibor Szanyi,0.0
László Tőkés,66.0
István Ujhelyi,44.0
Lynn Boylan,42.0
Matt Carthy,41.0
Nessa Childers,62.0
Deirdre Clune,59.0
Brian Crowley,55.0
Luke Ming Flanagan,47.0
Marian Harkin,65.0
Brian Hayes,49.0
Seán Kelly,0.0
Mairead McGuinness,59.0
Liadh Ní Riada,52.0
Isabella Adinolfi,40.0
Marco Affronte,53.0
Laura Agea,41.0
Daniela Aiuto,0.0
Tiziana Beghin,48.0
Brando Benifei,33.0
Goffredo Maria Bettini,0.0
Mara Bizzotto,46.0
Simona Bonafè,45.0
Mario Borghezio,71.0
David Borrelli,37.0
Mercedes Bresso,74.0
Renata Briano,0.0
Nicola Caputo,0.0
Fabio Massimo Castaldo,33.0
Lorenzo Cesa,67.0
Caterina Chinnici,64.0
Salvatore Cicu,0.0
Angelo Ciocca,43.0
Alberto Cirio,46.0
Sergio Gaetano Cofferati,0.0
Lara Comi,0.0
Ignazio Corrao,35.0
Silvia Costa,0.0
Andrea Cozzolino,56.0
Rosa dAmato,0.0
Nicola Danti,52.0
Paolo De Castro,61.0
Isabella De Monte,0.0
Herbert Dorfmann,0.0
Eleonora Evi,35.0
Giuseppe Ferrandino,0.0
Laura Ferrara,35.0
Raffaele Fitto,49.0
Eleonora Forenza,42.0
Elisabetta Gardini,62.0
Enrico Gasbarra,0.0
Elena Gentile,0.0
Michela Giuffrida,0.0
Roberto Gualtieri,52.0
Cécile Kashetu Kyenge,54.0
Giovanni La Via,0.0
Danilo Oscar Lancini,53.0
Innocenzo Leontini,0.0
Curzio Maltese,0.0
Fulvio Martusciello,50.0
Barbara Matera,37.0
Stefano Maullu,0.0
Giulia Moi,47.0
Luigi Morgano,0.0
Alessia Maria Mosca,43.0
Alessandra Mussolini,56.0
Pier Antonio Panzeri,63.0
Massimo Paolucci,0.0
Aldo Patriciello,61.0
Piernicola Pedicini,49.0
Pina Picierno,37.0
Massimiliano Salini,46.0
David-Maria Sassoli,0.0
Elly Schlein,33.0
Giancarlo Scottà,65.0
Remo Sernagiotto,63.0
Renato Soru,0.0
Barbara Spinelli,72.0
Antonio Tajani,65.0
Dario Tamburrano,0.0
Patrizia Toia,69.0
Marco Valli,0.0
Daniele Viotti,0.0
Marco Zanni,32.0
Flavio Zanonato,68.0
Damiano Zoffoli,0.0
Marco Zullo,40.0
Iveta Grigule-Pēterse,54.0
Sandra Kalniete,66.0
Aleksejs Loskutovs,0.0
Andrejs Mamikins,0.0
Miroslavs Mitrofanovs,0.0
Kārlis Šadurskis\xa0,0.0
Inese Vaidere,66.0
Roberts Zīle,60.0
Laima Liucija Andrikienė,61.0
Petras Auštrevičius,55.0
Zigmantas Balčytis,65.0
Vilija Blinkevičiūtė,59.0
Antanas Guoga,45.0
Valentinas Mazuronis,65.0
Rolandas Paksas,62.0
Bronis Ropė,0.0
Algirdas Saudargas,70.0
Valdemar Tomaševski,54.0
Viktor Uspaskich,0.0
Georges Bach,63.0
Mady Delvaux,68.0
Frank Engel,67.0
Charles Goerens,67.0
Christophe Hansen,37.0
Tilly Metz,51.0
David Casa,50.0
Miriam Dalli,42.0
Roberta Metsola,40.0
Marlene Mizzi,64.0
Alfred Sant,71.0
Francis Zammit Dimech,64.0
Bas Belder,72.0
Marcel de Graaff,56.0
Dennis de Jong,63.0
Esther de Lange,44.0
Bas Eickhout,42.0
André Elissen,59.0
Gerben-Jan Gerbrandy,0.0
Anja Hazekamp,51.0
Jan Huitema,0.0
Sophie in t Veld,0.0
Agnes Jongerius,58.0
Jeroen Lenaers,34.0
Anne-Marie Mineur,51.0
Caroline Nagtegaal,0.0
Kati Piri,39.0
Judith Sargentini,45.0
Marietje Schaake,40.0
Annie Schreijer-Pierik,66.0
Olaf Stuger,49.0
Paul Tang,60.0
Johannes Cornelis van Baalen,58.0
Peter van Dalen,60.0
Wim van de Camp,65.0
Matthijs van Miltenburg,46.0
Lambert van Nistelrooij,66.0
Auke Zijlstra,54.0
Michał Boni,0.0
Jerzy Buzek,78.0
Ryszard Czarnecki,56.0
Edward Czesak,68.0
Anna Elżbieta Fotyga,62.0
Lidia Joanna Geringer de Oedenberg,61.0
Adam Gierek,80.0
Beata Gosiewska,48.0
Andrzej Grzyb,62.0
Krzysztof Hetman,44.0
Czesław Hoc,0.0
Danuta Maria Hübner,70.0
Robert Jarosław Iwaszkiewicz,56.0
Danuta Jazłowiecka,61.0
Marek Jurek,58.0
Jarosław Kalinowski,56.0
Karol Karski,52.0
Sławomir Kłosowski,55.0
Agnieszka Kozłowska-Rajewicz,49.0
Zdzisław Krasnodębski,0.0
Urszula Krupa,69.0
Barbara Kudrycka,63.0
Zbigniew Kuźmiuk,62.0
Ryszard Antoni Legutko,69.0
Janusz Lewandowski,67.0
Bogusław Liberadzki,70.0
Elżbieta Katarzyna Łukacijewska,52.0
Krystyna Łybacka,0.0
Michał Marusik,67.0
Jan Olbrycht,0.0
Stanisław Ożóg,65.0
Bolesław G. Piecha,64.0
Mirosław Piotrowski,53.0
Julia Pitera,0.0
Marek Plura,48.0
Tomasz Piotr Poręba,45.0
Dariusz Rosati,72.0
Jacek Saryusz-Wolski,70.0
Czesław Adam Siekierski,66.0
Bogusław Sonik,65.0
Dobromir Sośnierz,0.0
Adam Szejnfeld,60.0
Kazimierz Michał Ujazdowski,54.0
Róża Gräfin von Thun Und Hohenstein,0.0
Jarosław Wałęsa,42.0
Jadwiga Wiśniewska,55.0
Bogdan Andrzej Zdrojewski,61.0
Janusz Zemke,70.0
Kosma Złotowski,55.0
Stanisław Żółtek,62.0
Tadeusz Zwiefka,64.0
Francisco Assis,54.0
Carlos Coelho,65.0
Manuel dos Santos,75.0
José Inácio Faria,0.0
José Manuel Fernandes,0.0
João Ferreira,0.0
Ana Gomes,65.0
António Marinho e Pinto,0.0
Marisa Matias,43.0
Nuno Melo,0.0
Cláudia Monteiro De Aguiar,0.0
João Pimenta Lopes,0.0
Paulo Rangel,51.0
Sofia Ribeiro,0.0
Liliana Rodrigues,45.0
Maria João Rodrigues,0.0
Fernando Ruas,0.0
Ricardo Serrão Santos,0.0
Pedro Silva Pereira,56.0
Miguel Viegas,0.0
Carlos Zorrinho,59.0
Victor Boştinaru,0.0
Daniel Buda,49.0
Cristian-Silviu Buşoi,41.0
Andi Cristea,0.0
Mircea Diaconu,69.0
Damian Drăghici,48.0
Doru-Claudian Frunzulică,0.0
Maria Grapini,64.0
Cătălin Sorin Ivan,40.0
Monica Macovei,60.0
Ramona Nicole Mănescu,0.0
Marian-Jean Marinescu,66.0
Sorin Moisă,0.0
Siegfried Mureşan,37.0
Dan Nica,58.0
Norica Nicolai,61.0
Ioan Mircea Paşcu,0.0
Emilian Pavel,0.0
Răzvan Popa,21.0
Cristian Dan Preda,52.0
Laurenţiu Rebega,43.0
Daciana Octavia Sârbu,42.0
Csaba Sógor,54.0
Theodor Dumitru Stolojan,75.0
Claudiu Ciprian Tănăsescu,0.0
Claudia Țapardel,35.0
Mihai Ţurcanu,0.0
Traian Ungureanu,0.0
Adina-Ioana Vălean,51.0
Renate Weber,0.0
Iuliu Winkler,55.0
Maria Gabriela Zoană,0.0
Monika Beňová,50.0
Pál Csáky,0.0
Eduard Kukan,0.0
Vladimír Maňka,59.0
Miroslav Mikolášik,66.0
József Nagy,0.0
Branislav Škripek,0.0
Monika Smolková,62.0
Ivan Štefanec,57.0
Richard Sulík,51.0
Anna Záborská,70.0
Boris Zala,0.0
Jana Žitňanská,44.0
Franc Bogovič,56.0
Tanja Fajon,47.0
Alojz Peterle,70.0
Igor Šoltes,54.0
Patricija Šulin,0.0
Romana Tomc,53.0
Ivo Vajgl,76.0
Milan Zver,56.0
Clara Eugenia Aguilera García,0.0
Marina Albiol Guzmán,36.0
Inés Ayala Sender,61.0
Pilar Ayuso,76.0
Beatriz Becerra Basterrechea,52.0
Xabier Benito Ziluaga,3.0
Izaskun Bilbao Barandica,57.0
José Blanco López,57.0
Soledad Cabezón Ruiz,45.0
Enrique Calvet Chambon,0.0
Javier Couso Permuy,0.0
Luis de Grandes Pascual,74.0
Pilar del Castillo Vera,0.0
Agustín Díaz De Mera García Consuegra,71.0
Rosa Estaràs Ferragut,53.0
Jonás Fernández,39.0
Santiago Fisas Ayxelà,70.0
Francesc Gambús,0.0
Iratxe García Pérez,44.0
Eider Gardiazabal Rubial,0.0
María Teresa Giménez Barbat,63.0
Tania González Peñas,36.0
Esteban González Pons,54.0
Enrique Guerrero Salom,0.0
Sergio Gutiérrez Prieto,0.0
Esther Herranz García,49.0
Carlos Iturgaiz,53.0
Ramón Jáuregui Atondo,70.0
Teresa Jiménez-Becerril Barrio,57.0
Verónica Lope Fontagné,0.0
Javi López,0.0
Juan Fernando López Aguilar,57.0
Paloma López Bermejo,0.0
Antonio López-Istúriz White,48.0
Florent Marcellesi,0.0
Gabriel Mato,0.0
Francisco José Millán Mon,64.0
Ana Miranda,0.0
Javier Nart,71.0
Maite Pagazaurtundúa Ruiz,53.0
Carolina Punset,48.0
Inmaculada Rodríguez-Piñero Fernández,61.0
José Ignacio Salafranca Sánchez-Neyra,63.0
Lola Sánchez Caldentey,41.0
Maria Lidia Senra Rodríguez,60.0
Jordi Solé,0.0
Josep-Maria Terricabras,72.0
Estefanía Torres Martínez,4.0
Ramon Tremosa I Balcells,0.0
Miguel Urbán Crespo,39.0
Ernest Urtasun,37.0
Ramón Luis Valcárcel Siso,64.0
Elena Valenciano,58.0
Ángela Vallina,0.0
Max Andersson,0.0
Malin Björk,46.0
Anna Maria Corazza Bildt,56.0
Jakop Dalunde,35.0
Linnéa Engström,37.0
Fredrick Federley,40.0
Christofer Fjellner,42.0
Aleksander Gabelic,0.0
Jytte Guteland,39.0
Anna Hedh,52.0
Gunnar Hökmark,66.0
Olle Ludvigsson,70.0
Peter Lundgren,0.0
Soraya Post,62.0
Jasenko Selimovic,51.0
Anders Sellström,0.0
Marita Ulvskog,67.0
Bodil Valero,60.0
Cecilia Wikström,53.0
Kristina Winberg,53.0
William (The Earl Of) Dartmouth,0.0
John Stuart Agnew,69.0
Tim Aker,33.0
Lucy Anderson,0.0
Martina Anderson,56.0
Jonathan Arnott,38.0
Richard Ashworth,71.0
Janice Atkinson,56.0
Amjad Bashir,66.0
Gerard Batten,64.0
Catherine Bearder,70.0
Louise Bours,50.0
Paul Brannen,56.0
Jonathan Bullock,56.0
David Campbell Bannerman,58.0
James Carver,49.0
David Coburn,49.0
Jane Collins,57.0
Richard Corbett,64.0
Daniel Dalton,44.0
Seb Dance,0.0
Nirj Deva,70.0
Diane Dodds,60.0
Bill Etheridge,49.0
Jill Evans,0.0
Nigel Farage,54.0
Raymond Finch,55.0
John Flack,0.0
Jacqueline Foster,0.0
Ashley Fox,49.0
Neena Gill,62.0
Nathan Gill,45.0
Julie Girling,62.0
Theresa Griffin,56.0
Daniel Hannan,47.0
Mary Honeyball,66.0
Mike Hookem,65.0
John Howarth,60.0
Ian Hudghton,67.0
Diane James,59.0
Syed Kamall,52.0
Sajjad Karim,48.0
Wajid Khan,0.0
Jude Kirton-Darling,41.0
Jean Lambert,68.0
David Martin,0.0
Rupert Matthews,57.0
Alex Mayer,37.0
Linda McAvan,56.0
Emma Mcclarkin,0.0
Anthea Mcintyre,0.0
Baroness Nosheena Mobarik,0.0
Clare Moody,53.0
Claude Moraes,53.0
James Nicholson,0.0
Paul Nuttall,42.0
Patrick OFlynn,0.0
Rory Palmer,37.0
Margot Parker,75.0
John Procter,52.0
Julia Reid,66.0
Molly Scott Cato,55.0
Jill Seymour,60.0
Siôn Simon,50.0
Alyn Smith,45.0
Kay Swinburne,51.0
Charles Tannock,61.0
Keith Taylor,65.0
Geoffrey Van Orden,73.0
Derek Vaughan,0.0
Julie Ward,61.0
Steven Woolfe,51.0
