First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Christian,Ehler,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Markus,Ferber,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Karl-Heinz,Florenz,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Michael,Gahler,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Stefan,Gehrold,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Jens,Gieseke,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Ingeborg,Grässle,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Monika,Hohlmeier,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Peter,Jahr,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Dieter-Lebrecht,Koch,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Werner,Kuhn,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Werner,Langen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Peter,Liese,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Norbert,Lins,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Thomas,Mann,Germany,EPP,AGAINST - CORRECTED,Christlich Demokratische Union Deutschlands
David,McAllister,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Angelika,Niebler,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Markus,Pieper,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Godelieve,Quisthoudt-Rowohl,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Dennis,Radtke,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Sven,Schulze,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Andreas,Schwab,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Renate,Sommer,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Sabine,Verheyen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Axel,Voss,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Manfred,Weber,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Rainer,Wieland,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Hermann,Winkler,Germany,EPP,AGAINST,Christlich Demokratische Union Deutschlands
Joachim,Zeller,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Manolis,Kefalogiannis,Greece,EPP,NOT PRESENT,Nea Demokratia
Georgios,Kyrtsos,Greece,EPP,NOT PRESENT,Nea Demokratia
Maria,Spyraki,Greece,EPP,FOR,Nea Demokratia
Elissavet,Vozemberg-Vrionidi,Greece,EPP,NOT PRESENT,Nea Demokratia
Theodoros,Zagorakis,Greece,EPP,NOT PRESENT,Nea Demokratia
Andrea,Bocskor,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Andor,Deli,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Tamás,Deutsch,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Norbert,Erdős,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Kinga,Gál,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
András,Gyürk,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
György,Hölvényi,Hungary,EPP,FOR,Kereszténydemokrata Néppárt 335
Lívia,Járóka,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Ádám,Kósa,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
György,Schöpflin,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
József,Szájer,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
László,Tőkés,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Deirdre,Clune,Ireland,EPP,NOT PRESENT,Fine Gael Party
Brian,Hayes,Ireland,EPP,FOR,Fine Gael Party
Seán,Kelly,Ireland,EPP,FOR,Fine Gael Party
Mairead,McGuinness,Ireland,EPP,FOR,Fine Gael Party
Lorenzo,Cesa,Italy,EPP,FOR,Unione di Centro
Salvatore,Cicu,Italy,EPP,FOR,Forza Italia
Alberto,Cirio,Italy,EPP,FOR,Forza Italia
Lara,Comi,Italy,EPP,FOR,Forza Italia
Herbert,Dorfmann,Italy,EPP,FOR,Südtiroler Volkspartei
Elisabetta,Gardini,Italy,EPP,FOR,Forza Italia
Giovanni,La Via,Italy,EPP,FOR,Alternativa Popolare
Fulvio,Martusciello,Italy,EPP,FOR,Forza Italia
Barbara,Matera,Italy,EPP,FOR,Forza Italia
Alessandra,Mussolini,Italy,EPP,FOR,Forza Italia
Aldo,Patriciello,Italy,EPP,NOT PRESENT,Forza Italia
Massimiliano,Salini,Italy,EPP,FOR,Forza Italia
Antonio,Tajani,Italy,EPP,NOT PRESENT,Forza Italia
Sandra,Kalniete,Latvia,EPP,FOR,Partija VIENOTĪBA
Aleksejs,Loskutovs,Latvia,EPP,FOR - CORRECTED,Partija VIENOTĪBA
Kārlis,Šadurskis ,Latvia,EPP,FOR,Partija VIENOTĪBA
Inese,Vaidere,Latvia,EPP,FOR,Partija VIENOTĪBA
Laima Liucija,Andrikienė,Lithuania,EPP,FOR,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Antanas,Guoga,Lithuania,EPP,AGAINST - CORRECTED,Independent
Algirdas,Saudargas,Lithuania,EPP,FOR,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Georges,Bach,Luxembourg,EPP,AGAINST,Parti chrétien social luxembourgeois
Frank,Engel,Luxembourg,EPP,AGAINST,Parti chrétien social luxembourgeois
Christophe,Hansen,Luxembourg,EPP,AGAINST,Parti chrétien social luxembourgeois
David,Casa,Malta,EPP,AGAINST,Partit Nazzjonalista
Roberta,Metsola,Malta,EPP,AGAINST,Partit Nazzjonalista
Francis,Zammit Dimech,Malta,EPP,FOR,Partit Nazzjonalista
Esther,de Lange,Netherlands,EPP,FOR,Christen Democratisch Appèl
Jeroen,Lenaers,Netherlands,EPP,FOR,Christen Democratisch Appèl
Annie,Schreijer-Pierik,Netherlands,EPP,FOR,Christen Democratisch Appèl
Wim,van de Camp,Netherlands,EPP,FOR,Christen Democratisch Appèl
Lambert,van Nistelrooij,Netherlands,EPP,FOR,Christen Democratisch Appèl
Michał,Boni,Poland,EPP,AGAINST,Platforma Obywatelska
Jerzy,Buzek,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Andrzej,Grzyb,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Krzysztof,Hetman,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Danuta Maria,Hübner,Poland,EPP,FOR,Platforma Obywatelska
Danuta,Jazłowiecka,Poland,EPP,FOR - CORRECTED,Platforma Obywatelska
Jarosław,Kalinowski,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Agnieszka,Kozłowska-Rajewicz,Poland,EPP,FOR,Platforma Obywatelska
Barbara,Kudrycka,Poland,EPP,FOR,Platforma Obywatelska
Janusz,Lewandowski,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Elżbieta Katarzyna,Łukacijewska,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Jan,Olbrycht,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Julia,Pitera,Poland,EPP,FOR,Platforma Obywatelska
Marek,Plura,Poland,EPP,AGAINST - CORRECTED,Platforma Obywatelska
Dariusz,Rosati,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Czesław Adam,Siekierski,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Bogusław,Sonik,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Adam,Szejnfeld,Poland,EPP,AGAINST,Platforma Obywatelska
Róża Gräfin,von Thun Und Hohenstein,Poland,EPP,AGAINST,Platforma Obywatelska
Jarosław,Wałęsa,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Bogdan Andrzej,Zdrojewski,Poland,EPP,FOR,Platforma Obywatelska
Tadeusz,Zwiefka,Poland,EPP,FOR,Platforma Obywatelska
Carlos,Coelho,Portugal,EPP,FOR,Partido Social Democrata
José Inácio,Faria,Portugal,EPP,FOR,Partido da Terra
José Manuel,Fernandes,Portugal,EPP,FOR,Partido Social Democrata
Nuno,Melo,Portugal,EPP,FOR,Partido Popular
Cláudia,Monteiro De Aguiar,Portugal,EPP,FOR,Partido Social Democrata
Paulo,Rangel,Portugal,EPP,FOR,Partido Social Democrata
Sofia,Ribeiro,Portugal,EPP,FOR,Partido Social Democrata
Fernando,Ruas,Portugal,EPP,FOR,Partido Social Democrata
Daniel,Buda,Romania,EPP,ABSTAINED,Partidul Național Liberal
Cristian-Silviu,Buşoi,Romania,EPP,ABSTAINED,Partidul Naţional Liberal
Ramona Nicole,Mănescu,Romania,EPP,FOR,Partidul Național Liberal
Marian-Jean,Marinescu,Romania,EPP,ABSTAINED,Partidul Naţional Liberal
Sorin,Moisă,Romania,EPP,FOR,Partidul Social Democrat
Siegfried,Mureşan,Romania,EPP,ABSTAINED,Partidul Naţional Liberal
Cristian Dan,Preda,Romania,EPP,FOR,Independent
Csaba,Sógor,Romania,EPP,FOR,Uniunea Democrată Maghiară din România
Theodor Dumitru,Stolojan,Romania,EPP,ABSTAINED,Partidul Naţional Liberal
Mihai,Ţurcanu,Romania,EPP,ABSTAINED,Partidul Naţional Liberal
Traian,Ungureanu,Romania,EPP,AGAINST,Partidul Naţional Liberal
Adina-Ioana,Vălean,Romania,EPP,AGAINST,Partidul Naţional Liberal
Iuliu,Winkler,Romania,EPP,NOT PRESENT,Uniunea Democrată Maghiară din România
Pál,Csáky,Slovakia,EPP,FOR,Strana maďarskej komunity – Magyar Közösség Pártja
Eduard,Kukan,Slovakia,EPP,FOR,Independent
Miroslav,Mikolášik,Slovakia,EPP,FOR,Kresťanskodemokratické hnutie
József,Nagy,Slovakia,EPP,FOR,MOST-Híd
Ivan,Štefanec,Slovakia,EPP,FOR,Kresťanskodemokratické hnutie
Anna,Záborská,Slovakia,EPP,ABSTAINED,Kresťanskodemokratické hnutie
Franc,Bogovič,Slovenia,EPP,FOR,Slovenska ljudska stranka
Alojz,Peterle,Slovenia,EPP,FOR,Nova Slovenija – Krščanski demokrati
Patricija,Šulin,Slovenia,EPP,AGAINST,Slovenska demokratska stranka
Romana,Tomc,Slovenia,EPP,AGAINST,Slovenska demokratska stranka
Milan,Zver,Slovenia,EPP,AGAINST,Slovenska demokratska stranka
Pilar,Ayuso,Spain,EPP,FOR,Partido Popular
Luis,de Grandes Pascual,Spain,EPP,FOR,Partido Popular
Pilar,del Castillo Vera,Spain,EPP,FOR,Partido Popular
Agustín,Díaz De Mera García Consuegra,Spain,EPP,FOR,Partido Popular
Rosa,Estaràs Ferragut,Spain,EPP,FOR,Partido Popular
Santiago,Fisas Ayxelà,Spain,EPP,FOR,Partido Popular
Francesc,Gambús,Spain,EPP,FOR,0
Esteban,González Pons,Spain,EPP,FOR,Partido Popular
Esther,Herranz García,Spain,EPP,FOR,Partido Popular
Carlos,Iturgaiz,Spain,EPP,FOR,Partido Popular
Teresa,Jiménez-Becerril Barrio,Spain,EPP,FOR,Partido Popular
Verónica,Lope Fontagné,Spain,EPP,NOT PRESENT,Partido Popular
Antonio,López-Istúriz White,Spain,EPP,FOR,Partido Popular
Gabriel,Mato,Spain,EPP,FOR,Partido Popular
Francisco José,Millán Mon,Spain,EPP,FOR,Partido Popular
José Ignacio,Salafranca Sánchez-Neyra,Spain,EPP,FOR,Partido Popular
Ramón Luis,Valcárcel Siso,Spain,EPP,FOR,Partido Popular
Anna Maria,Corazza Bildt,Sweden,EPP,NOT PRESENT,Moderaterna
Christofer,Fjellner,Sweden,EPP,AGAINST,Moderaterna
Gunnar,Hökmark,Sweden,EPP,AGAINST,Moderaterna
Anders,Sellström,Sweden,EPP,AGAINST,Kristdemokraterna
Richard,Ashworth,United Kingdom,EPP,FOR,Conservative Party
Julie,Girling,United Kingdom,EPP,FOR,Conservative Party
